,author,published_at,title,description,url
0,Igor Bonifacic,2021-02-25T18:03:30Z,Polestar 2 OTA update improves range and DC charging speeds,"The Polestar 2 will get its first major software update sometime in the next few weeks. The company says it will improve the car's range, upgrade its Android Automotive operating system, and fix an unspecified safety-related bug. The OTA will also add a new C…",https://www.engadget.com/polestar-2-ota-update-180330715.html
1,Mark Kaufman,2021-03-20T17:31:45Z,Feast your eyes on gorgeous shots of fresh lava from Iceland's new eruption,"Earth's grandeur is spilling out.The Icelandic Meteorological Office reported Friday evening that lava started flowing out of a fissure on the island's Reykjanes peninsula, after months of quaking in the region. The lava flows aren't currently a threat to an…",https://mashable.com/article/iceland-volcano-lava-eruption-images/
2,JOHN FLESHER,2021-03-15T18:06:53Z,Scientists: Climate-whipped winds pose Great Lakes hazards,Powerful gusts linked to global warming are damaging water quality and creating a hazard for fish in Lake Erie and perhaps elsewhere in the Great Lakes...,https://news.yahoo.com/scientists-climate-whipped-winds-pose-180653142.html
3,"Bob Berwyn, Inside Climate News",2021-02-25T15:30:00Z,How Climate Change May Influence Deadly Avalanches,Greater temperature swings and more intense rain and snow storms could alter avalanche dynamics-- Read more on ScientificAmerican.com,https://www.scientificamerican.com/article/how-climate-change-may-influence-deadly-avalanches/
4,,2021-03-07T08:05:14Z,Perseverance drives on Mars' terrain for first time - SatelliteProME.com,"Perseverance drives on Mars' terrain for first time  SatelliteProME.com</li>NASA rover Perseverance takes first spin on surface of Mars  Global News</li>Video ""Perseverance"" robot moves to the surface of Mars for the first time  SwordsToda…",https://satelliteprome.com/news/perseverance-drives-on-mars-terrain-for-first-time/
5,John Flesher,2021-03-15T20:50:32Z,Scientists: Climate-whipped winds pose Great Lakes hazards,"Powerful gusts linked to global warming are damaging water quality and creating a hazard for fish in Lake Erie and perhaps elsewhere in the Great Lakes, according to researchers.",https://phys.org/news/2021-03-scientists-climate-whipped-pose-great-lakes.html
6,,2021-03-05T13:01:24Z,Fine particulate matter from wildfire smoke more harmful than pollution from other sources,Researchers examining 14 years of hospital admissions data conclude that the fine particles in wildfire smoke can be several times more harmful to human respiratory health than particulate matter from other sources such as car exhaust. While this distinction …,https://www.sciencedaily.com/releases/2021/03/210305080124.htm
7,SOPHIA EPPOLITO and FELICIA FONSECA Associated Press/Report for America,2021-03-10T16:58:01Z,Western states chart diverging paths as water shortages loom,Legislation in Utah is raising concerns as seven Western states prepare to negotiate how to sustain a river that supplies 40 million people and a massive agricultural industry,https://abcnews.go.com/Politics/wireStory/western-states-chart-diverging-paths-water-shortages-loom-76365864
8,Ronan Glon,2021-02-26T14:04:00Z,"Polestar 2 over-the-air update tweaks range, powertrain and infotainment","Filed under: Green,Electric,Luxury,sedan,Polestar Continue reading Polestar 2 over-the-air update tweaks range, powertrain and infotainmentPolestar 2 over-the-air update tweaks range, powertrain and infotainment originally appeared on Autoblog on Fri, 26 F…",https://www.autoblog.com/2021/02/26/polestar-2-over-the-air-updates/
9,Science X staff,2021-02-25T20:17:50Z,Getting ahead of climate change,"As climate change increases the occurrence of catastrophic natural disasters around the world, international organizations are looking for ways to reduce the risk of such disasters. One approach under exploration is the humanitarian community's forecast-based…",https://phys.org/news/2021-02-climate.html
10,Science X staff,2021-02-23T18:07:56Z,Alaska thunderstorms may triple with climate change,"Warming temperatures will potentially alter the climate in Alaska so profoundly later this century that the number of thunderstorms will triple, increasing the risks of widespread flash flooding, landslides, and lightning-induced wildfires, new research finds.",https://phys.org/news/2021-02-alaska-thunderstorms-triple-climate.html
11,Christina Hanna,2021-03-08T14:00:02Z,"When climate change and other emergencies threaten where we live, how will we manage our retreat?","Despite living in dynamic environments and facing an uncertain future due to climate change, New Zealanders generally expect their land and property rights will endure indefinitely.",https://phys.org/news/2021-03-climate-emergencies-threaten-retreat.html
12,Science X staff,2021-02-25T20:11:45Z,Post-wildfire landslides becoming more frequent in southern California,"Southern California can now expect to see post-wildfire landslides occurring almost every year, with major events expected roughly every ten years, a new study finds. The results show Californians are now facing a double whammy of increased wildfire and lands…",https://phys.org/news/2021-02-post-wildfire-landslides-frequent-southern-california.html
13,Jerri-Lynn Scofield,2021-03-08T09:25:03Z,"New Report: U.S. Dams, Levees Get D Grades, Need $115 Billion in Upgrades",Heavier precipitation caused by climate change is straining aging flood-control systems throughout the U.S.,https://www.nakedcapitalism.com/2021/03/new-report-u-s-dams-levees-get-d-grades-need-115-billion-in-upgrades.html
14,Mark Ogden,2021-03-15T14:05:42Z,"Assessing Ronaldo's next move: Man United, Real Madrid, MLS or stay at Juve?",The question keeps being asked: What's next for the five-time Ballon d'Or winner and legend of the game? We break down his options.,https://www.espn.com/soccer/soccer-transfers/story/4337701/ronaldos-options-rejoin-man-united-or-real-madridmove-to-psg-or-mls-remain-at-juventus
15,The Economist,2021-02-25T16:07:24Z,Dusting the upper atmosphere could help counter climate change,An experiment to test the idea could soon start in Sweden,https://www.economist.com/science-and-technology/2021/02/27/dusting-the-upper-atmosphere-could-help-counter-climate-change
16,Kevin Webb,2021-03-16T12:43:23Z,"To save giant sequoia trees, maybe it's time to plant backups","Last month, unusually high winds knocked down 15 giant sequoias in Yosemite. If you haven't had a chance to see them in person, giant sequoias are big—like, warp-your-sense-of-scale and melt-your-brain big. Then, once you've taken in their size, they do the s…",https://phys.org/news/2021-03-giant-sequoia-trees-backups.html
17,Science X staff,2021-03-05T10:00:02Z,Fine particulate matter from wildfire smoke more harmful than pollution from other sources,Researchers at Scripps Institution of Oceanography at UC San Diego examining 14 years of hospital admissions data conclude that the fine particles in wildfire smoke can be several times more harmful to human respiratory health than particulate matter from oth…,https://phys.org/news/2021-03-fine-particulate-wildfire-pollution-sources.html
